year,month,co2,ch4,sf6,n2o,co2_rescale,ch4_rescale,sf6_rescale,n2o_rescale
2001,1,370.76,1772.87,4.69,316.3,0.045963913,0.066157262,0,0.009654472
2001,2,371.69,1772.47,4.71,316.31,0.06362773,0.063544932,0.00312989,0.010162602
2001,3,372.63,1773.66,4.73,316.21,0.081481481,0.071316614,0.006259781,0.005081301
2001,4,373.55,1773.85,4.75,316.12,0.098955366,0.072557471,0.009389671,0.00050813
2001,5,374.03,1770.71,4.76,316.11,0.108072175,0.052050679,0.010954617,0
2001,6,373.4,1765.85,4.76,316.17,0.096106363,0.020310867,0.010954617,0.00304878
2001,7,371.68,1762.74,4.77,316.24,0.063437797,0,0.012519562,0.006605691
2001,8,369.78,1764.29,4.78,316.3,0.027350427,0.01012278,0.014084507,0.009654472
2001,9,368.34,1770.41,4.81,316.41,0,0.050091432,0.018779343,0.015243902
2001,10,368.61,1775.5,4.83,316.59,0.005128205,0.083333333,0.021909233,0.024390244
2001,11,369.94,1776.54,4.86,316.76,0.030389364,0.090125392,0.026604069,0.033028455
2001,12,371.42,1775.92,4.88,316.87,0.058499525,0.08607628,0.029733959,0.038617886
2002,1,372.7,1774.09,4.89,316.93,0.082811016,0.074124869,0.031298905,0.041666667
2002,2,373.37,1772.8,4.91,316.97,0.095536562,0.065700104,0.034428795,0.043699187
2002,3,374.3,1773.42,4.93,316.96,0.11320038,0.069749216,0.037558685,0.043191057
2002,4,375.19,1772.75,4.95,316.9,0.130104463,0.065373563,0.040688576,0.040142276
2002,5,375.93,1770.29,4.96,316.85,0.144159544,0.049307732,0.042253521,0.037601626
2002,6,375.69,1766.92,4.96,316.83,0.13960114,0.027298851,0.042253521,0.036585366
2002,7,374.16,1764.21,4.98,316.82,0.110541311,0.009600313,0.045383412,0.036077236
2002,8,372.03,1766.84,4.99,316.82,0.07008547,0.026776385,0.046948357,0.036077236
2002,9,370.92,1773.69,5.01,316.87,0.049002849,0.071512539,0.050078247,0.038617886
2002,10,370.73,1778.25,5.03,316.99,0.045394112,0.101293103,0.053208138,0.044715447
2002,11,372.43,1779.49,5.06,317.13,0.077682811,0.109391327,0.057902973,0.051829268
2002,12,373.98,1779.68,5.09,317.24,0.107122507,0.110632184,0.062597809,0.057418699
2003,1,375.07,1777.53,5.11,317.29,0.127825261,0.096590909,0.0657277,0.05995935
2003,2,375.82,1774.8,5.12,317.34,0.142070275,0.078761755,0.067292645,0.0625
2003,3,376.64,1774.87,5.15,317.4,0.157644824,0.079218913,0.07198748,0.06554878
2003,4,377.92,1775.8,5.19,317.47,0.181956315,0.085292581,0.078247261,0.069105691
2003,5,378.78,1774.43,5.22,317.51,0.198290598,0.07634535,0.082942097,0.071138211
2003,6,378.46,1771.7,5.23,317.53,0.192212726,0.058516196,0.084507042,0.072154472
2003,7,376.88,1770.7,5.24,317.57,0.162203229,0.051985371,0.086071987,0.074186992
2003,8,374.57,1774.29,5.25,317.63,0.118328585,0.075431034,0.087636933,0.077235772
2003,9,373.34,1780.58,5.28,317.77,0.094966762,0.116509927,0.092331768,0.084349593
2003,10,373.31,1784.68,5.3,317.93,0.094396961,0.143286311,0.095461659,0.092479675
2003,11,374.84,1785.26,5.32,318.04,0.12345679,0.14707419,0.098591549,0.098069106
2003,12,376.17,1783.59,5.34,318.11,0.148717949,0.136167712,0.10172144,0.101626016
2004,1,377.17,1780.86,5.36,318.18,0.167711301,0.118338558,0.10485133,0.105182927
2004,2,378.05,1779.95,5.38,318.2,0.184425451,0.112395507,0.107981221,0.106199187
2004,3,379.06,1780.98,5.4,318.17,0.203608737,0.119122257,0.111111111,0.104674797
2004,4,380.54,1780.7,5.42,318.14,0.231718898,0.117293626,0.114241002,0.103150407
2004,5,380.8,1777.55,5.44,318.14,0.23665717,0.096721526,0.117370892,0.103150407
2004,6,379.87,1772.3,5.44,318.13,0.218993352,0.062434692,0.117370892,0.102642276
2004,7,377.65,1767.99,5.45,318.13,0.17682811,0.034286834,0.118935837,0.102642276
2004,8,376.17,1769.72,5.47,318.17,0.148717949,0.045585162,0.122065728,0.104674797
2004,9,374.43,1775.49,5.49,318.22,0.115669516,0.083268025,0.125195618,0.107215447
2004,10,374.63,1779.68,5.51,318.34,0.119468186,0.110632184,0.128325509,0.113313008
2004,11,376.33,1780.46,5.54,318.56,0.151756885,0.115726228,0.133020344,0.12449187
2004,12,377.68,1778.4,5.56,318.76,0.177397911,0.102272727,0.136150235,0.134654472
2005,1,378.63,1776.32,5.58,318.87,0.195441595,0.08868861,0.139280125,0.140243902
2005,2,379.91,1775.78,5.6,318.89,0.219753086,0.085161964,0.142410016,0.141260163
2005,3,380.95,1775.46,5.62,318.88,0.239506173,0.0830721,0.145539906,0.140752033
2005,4,382.48,1774.57,5.64,318.79,0.268566002,0.077259666,0.148669797,0.136178862
2005,5,382.64,1772.22,5.65,318.66,0.271604938,0.061912226,0.150234742,0.129573171
2005,6,382.4,1768.57,5.65,318.6,0.267046534,0.038074713,0.150234742,0.12652439
2005,7,380.93,1766.26,5.66,318.65,0.239126306,0.022988506,0.151799687,0.129065041
2005,8,378.93,1768.03,5.68,318.77,0.201139601,0.034548067,0.154929577,0.135162602
2005,9,376.89,1773.12,5.7,318.9,0.162393162,0.067789969,0.158059468,0.141768293
2005,10,377.19,1778.48,5.73,319.1,0.168091168,0.102795193,0.162754304,0.151930894
2005,11,378.54,1781.21,5.75,319.36,0.193732194,0.120624347,0.165884194,0.165142276
2005,12,380.31,1780.29,5.78,319.57,0.227350427,0.114615987,0.17057903,0.175813008
2006,1,381.58,1779.5,5.81,319.73,0.251471985,0.109456635,0.175273865,0.183943089
2006,2,382.4,1779.44,5.83,319.8,0.267046534,0.109064786,0.178403756,0.1875
2006,3,382.86,1777.41,5.85,319.77,0.275783476,0.09580721,0.181533646,0.18597561
2006,4,384.8,1776.11,5.87,319.7,0.312630579,0.087317137,0.184663537,0.182418699
2006,5,385.22,1774.9,5.89,319.68,0.320607787,0.079414838,0.187793427,0.181402439
2006,6,384.24,1769.25,5.9,319.66,0.301994302,0.042515674,0.189358372,0.180386179
2006,7,382.65,1764.16,5.91,319.63,0.271794872,0.009273772,0.190923318,0.178861789
2006,8,380.6,1767.23,5.93,319.67,0.2328585,0.029323406,0.194053208,0.180894309
2006,9,379.04,1774.61,5.95,319.82,0.20322887,0.077520899,0.197183099,0.18851626
2006,10,379.33,1778.22,5.97,320,0.208736942,0.101097179,0.200312989,0.197662602
2006,11,380.35,1779.02,6,320.16,0.228110161,0.106321839,0.205007825,0.205792683
2006,12,382.02,1779.94,6.03,320.26,0.25982906,0.112330199,0.20970266,0.210873984
2007,1,383.1,1779.15,6.06,320.36,0.28034188,0.107170846,0.214397496,0.215955285
2007,2,384.12,1778.56,6.09,320.39,0.2997151,0.103317659,0.219092332,0.217479675
2007,3,384.81,1780.3,6.12,320.29,0.312820513,0.114681296,0.223787167,0.212398374
2007,4,386.73,1781.11,6.14,320.19,0.349287749,0.119971264,0.226917058,0.207317073
2007,5,386.78,1779.42,6.16,320.23,0.350237417,0.108934169,0.230046948,0.209349593
2007,6,386.33,1775.63,6.16,320.25,0.341690408,0.084182341,0.230046948,0.210365854
2007,7,384.73,1772.6,6.17,320.19,0.311301045,0.064393939,0.231611894,0.207317073
2007,8,382.24,1777.19,6.19,320.23,0.264007597,0.094370428,0.234741784,0.209349593
2007,9,381.2,1785.9,6.22,320.46,0.244254511,0.151253918,0.23943662,0.221036585
2007,10,381.37,1789.83,6.26,320.74,0.247483381,0.176920063,0.245696401,0.235264228
2007,11,382.7,1789.5,6.28,320.96,0.272744539,0.17476489,0.248826291,0.246443089
2007,12,384.19,1788.21,6.31,321.16,0.301044634,0.166340125,0.253521127,0.256605691
2008,1,385.78,1786.67,6.34,321.33,0.331244065,0.156282654,0.258215962,0.265243902
2008,2,386.06,1785.78,6.37,321.39,0.336562203,0.150470219,0.262910798,0.268292683
2008,3,386.28,1786.18,6.39,321.39,0.340740741,0.15308255,0.266040689,0.268292683
2008,4,387.33,1786.88,6.41,321.39,0.360683761,0.157654127,0.269170579,0.268292683
2008,5,388.78,1785.19,6.44,321.43,0.388224122,0.146617032,0.273865415,0.270325203
2008,6,387.99,1780.49,6.45,321.45,0.373219373,0.115922153,0.27543036,0.271341463
2008,7,386.61,1777.64,6.46,321.42,0.347008547,0.0973093,0.276995305,0.269817073
2008,8,384.32,1781.04,6.48,321.39,0.30351377,0.119514107,0.280125196,0.268292683
2008,9,383.41,1787.68,6.51,321.48,0.28622982,0.162878788,0.284820031,0.272865854
2008,10,383.21,1793.66,6.55,321.65,0.282431149,0.201933124,0.291079812,0.281504065
2008,11,384.41,1797.3,6.59,321.8,0.305223172,0.225705329,0.297339593,0.289126016
2008,12,385.79,1796.64,6.62,321.97,0.331433998,0.221394984,0.302034429,0.297764228
2009,1,387.17,1795.06,6.64,322.21,0.357644824,0.21107628,0.305164319,0.30995935
2009,2,387.7,1795.57,6.67,322.35,0.367711301,0.214407001,0.309859155,0.317073171
2009,3,389.04,1796,6.69,322.27,0.393162393,0.217215256,0.312989045,0.31300813
2009,4,389.76,1795.55,6.71,322.1,0.406837607,0.214276385,0.316118936,0.304369919
2009,5,390.36,1792.34,6.72,321.98,0.418233618,0.193312435,0.317683881,0.298272358
2009,6,389.7,1786.93,6.73,321.95,0.405698006,0.157980669,0.319248826,0.296747967
2009,7,388.24,1784.96,6.75,322.02,0.377967711,0.145114943,0.322378717,0.300304878
2009,8,386.29,1788.82,6.77,322.15,0.340930674,0.170323929,0.325508607,0.306910569
2009,9,384.95,1794.84,6.8,322.3,0.315479582,0.209639498,0.330203443,0.31453252
2009,10,384.64,1798.02,6.83,322.51,0.309591643,0.230407524,0.334898279,0.325203252
2009,11,386.23,1797.88,6.86,322.7,0.339791073,0.229493208,0.339593114,0.334857724
2009,12,387.63,1796.72,6.89,322.84,0.366381766,0.22191745,0.34428795,0.341971545
2010,1,388.91,1797.11,6.92,322.91,0.390693257,0.224464472,0.348982786,0.345528455
2010,2,390.41,1798.75,6.95,322.93,0.419183286,0.235175026,0.353677621,0.346544715
2010,3,391.37,1799.48,6.98,322.94,0.437416904,0.239942529,0.358372457,0.347052846
2010,4,392.67,1799.64,6.99,322.97,0.462108262,0.240987461,0.359937402,0.348577236
2010,5,393.21,1797.71,7.01,323.01,0.472364672,0.228382968,0.363067293,0.350609756
2010,6,392.38,1792.57,7.03,323.01,0.45660019,0.194814525,0.366197183,0.350609756
2010,7,390.41,1789.46,7.05,323.03,0.419183286,0.174503657,0.369327074,0.351626016
2010,8,388.54,1794.08,7.07,323.1,0.383665717,0.204676071,0.372456964,0.355182927
2010,9,387.03,1801.87,7.08,323.26,0.354985755,0.255551202,0.374021909,0.363313008
2010,10,387.43,1806.55,7.11,323.51,0.362583096,0.286115465,0.378716745,0.37601626
2010,11,388.87,1807.04,7.13,323.76,0.389933523,0.289315569,0.381846635,0.388719512
2010,12,389.99,1803.67,7.16,323.94,0.411206078,0.267306688,0.386541471,0.397865854
2011,1,391.5,1800.47,7.18,324.04,0.43988604,0.246408046,0.389671362,0.402947154
2011,2,392.05,1800.16,7.2,324.07,0.450332384,0.24438349,0.392801252,0.404471545
2011,3,392.8,1801,7.23,324.07,0.464577398,0.249869383,0.397496088,0.404471545
2011,4,393.44,1802.89,7.26,324.06,0.476733143,0.262212644,0.402190923,0.403963415
2011,5,394.41,1803.3,7.28,324.05,0.495156695,0.264890282,0.405320814,0.403455285
2011,6,393.95,1799.18,7.3,324.05,0.486419753,0.237983281,0.408450704,0.403455285
2011,7,392.72,1796.19,7.3,324.05,0.46305793,0.218456113,0.408450704,0.403455285
2011,8,390.33,1799.04,7.31,324.1,0.417663818,0.237068966,0.410015649,0.405995935
2011,9,389.28,1804.09,7.33,324.24,0.397720798,0.270049634,0.41314554,0.413109756
2011,10,389.19,1809.58,7.37,324.44,0.396011396,0.305903866,0.419405321,0.423272358
2011,11,390.48,1812.39,7.41,324.63,0.420512821,0.324255486,0.425665102,0.432926829
2011,12,392.06,1810.04,7.44,324.77,0.450522317,0.308908046,0.430359937,0.44004065
2012,1,393.31,1807.27,7.47,324.9,0.474264008,0.290817659,0.435054773,0.446646341
2012,2,394.04,1808.22,7.5,324.97,0.488129155,0.297021944,0.439749609,0.450203252
2012,3,394.59,1809.94,7.53,324.96,0.498575499,0.308254963,0.444444444,0.449695122
2012,4,396.38,1808.38,7.55,324.92,0.532573599,0.298066876,0.447574335,0.447662602
2012,5,396.93,1804.68,7.57,324.9,0.543019943,0.273902821,0.450704225,0.446646341
2012,6,395.91,1800.95,7.59,324.86,0.523646724,0.249542842,0.453834116,0.444613821
2012,7,394.56,1799.27,7.6,324.87,0.498005698,0.238571055,0.455399061,0.445121951
2012,8,392.59,1803.21,7.62,324.97,0.460588794,0.264302508,0.458528951,0.450203252
2012,9,391.32,1810.12,7.65,325.12,0.436467236,0.309430512,0.463223787,0.457825203
2012,10,391.27,1814.73,7.69,325.28,0.435517569,0.339537618,0.469483568,0.465955285
2012,11,393.2,1815.85,7.73,325.43,0.472174739,0.346852142,0.475743349,0.473577236
2012,12,394.57,1814.6,7.75,325.53,0.498195632,0.33868861,0.478873239,0.478658537
2013,1,395.78,1814.05,7.78,325.58,0.521177588,0.335096656,0.483568075,0.481199187
2013,2,397.03,1814.11,7.81,325.62,0.544919278,0.335488506,0.488262911,0.483231707
2013,3,397.66,1813.27,7.83,325.68,0.55688509,0.330002612,0.491392801,0.486280488
2013,4,398.64,1812.83,7.86,325.74,0.575498575,0.327129049,0.496087637,0.489329268
2013,5,400.02,1811.92,7.88,325.81,0.601709402,0.321185998,0.499217527,0.492886179
2013,6,398.81,1808.62,7.9,325.89,0.578727445,0.299634274,0.502347418,0.49695122
2013,7,397.51,1805.98,7.92,325.96,0.554036087,0.282392894,0.505477308,0.50050813
2013,8,395.39,1808.52,7.94,325.98,0.51377018,0.298981191,0.508607199,0.50152439
2013,9,393.72,1814.28,7.97,326.05,0.482051282,0.336598746,0.513302034,0.505081301
2013,10,393.9,1818.5,8,326.2,0.485470085,0.36415883,0.51799687,0.512703252
2013,11,395.36,1820.33,8.04,326.37,0.51320038,0.37611024,0.524256651,0.521341463
2013,12,397.03,1819.38,8.06,326.51,0.544919278,0.369905956,0.527386541,0.528455285
2014,1,398.04,1816.84,8.09,326.61,0.564102564,0.353317659,0.532081377,0.533536585
2014,2,398.27,1816.38,8.11,326.66,0.568471035,0.35031348,0.535211268,0.536077236
2014,3,399.91,1818.16,8.14,326.72,0.599620133,0.361938349,0.539906103,0.539126016
2014,4,401.51,1820.89,8.18,326.79,0.630009497,0.379767503,0.546165884,0.542682927
2014,5,401.96,1821.89,8.21,326.82,0.638556505,0.386298328,0.55086072,0.544207317
2014,6,401.43,1818.35,8.23,326.89,0.628490028,0.363179206,0.55399061,0.547764228
2014,7,399.27,1815.53,8.26,327.03,0.587464387,0.344762278,0.558685446,0.554878049
2014,8,397.18,1819.71,8.28,327.18,0.547768281,0.372061129,0.561815336,0.5625
2014,9,395.54,1826.89,8.31,327.33,0.516619183,0.418952456,0.566510172,0.570121951
2014,10,396.16,1831.21,8.35,327.52,0.528395062,0.447165622,0.572769953,0.579776423
2014,11,397.4,1833.05,8.39,327.71,0.551946819,0.459182341,0.579029734,0.589430894
2014,12,399.08,1833.53,8.42,327.87,0.583855651,0.462317137,0.58372457,0.597560976
2015,1,400.18,1832.89,8.44,327.99,0.604748338,0.458137409,0.58685446,0.603658537
2015,2,400.55,1832.73,8.47,328.05,0.611775878,0.457092476,0.591549296,0.606707317
2015,3,401.74,1833.11,8.5,328.04,0.634377968,0.45957419,0.596244131,0.606199187
2015,4,403.35,1833.24,8.52,327.97,0.664957265,0.460423197,0.599374022,0.602642276
2015,5,404.15,1831.8,8.54,327.92,0.680151947,0.451018809,0.602503912,0.600101626
2015,6,402.97,1827.36,8.56,327.96,0.657739791,0.422021944,0.605633803,0.602134146
2015,7,401.46,1824.78,8.57,328.04,0.629059829,0.405172414,0.607198748,0.606199187
2015,8,399.11,1829.2,8.6,328.12,0.584425451,0.434038662,0.611893584,0.610264228
2015,9,397.82,1836.3,8.63,328.24,0.559924027,0.480407524,0.616588419,0.616361789
2015,10,398.49,1841.51,8.67,328.42,0.572649573,0.514433124,0.6228482,0.62550813
2015,11,400.27,1844.74,8.71,328.61,0.60645774,0.535527691,0.629107981,0.635162602
2015,12,402.06,1844.91,8.74,328.77,0.64045584,0.536637931,0.633802817,0.643292683
2016,1,402.73,1842.39,8.77,328.87,0.653181387,0.520180251,0.638497653,0.648373984
2016,2,404.25,1841.62,8.8,328.9,0.682051282,0.515151515,0.643192488,0.649898374
2016,3,405.06,1843.01,8.83,328.88,0.697435897,0.524229363,0.647887324,0.648882114
2016,4,407.6,1843.74,8.86,328.88,0.745679012,0.528996865,0.65258216,0.648882114
2016,5,407.9,1842.12,8.89,328.9,0.751377018,0.518416928,0.657276995,0.649898374
2016,6,406.99,1837.85,8.91,328.91,0.734093067,0.490530303,0.660406886,0.650406504
2016,7,404.59,1834.16,8.91,328.84,0.688509022,0.466431557,0.660406886,0.646849593
2016,8,402.45,1836.68,8.92,328.78,0.647863248,0.482889237,0.661971831,0.643800813
2016,9,401.23,1844.21,8.94,328.85,0.624691358,0.532066353,0.665101721,0.647357724
2016,10,401.79,1849.86,8.99,329.04,0.635327635,0.568965517,0.672926448,0.657012195
2016,11,403.72,1851.42,9.03,329.22,0.671984805,0.579153605,0.679186228,0.666158537
2016,12,404.64,1851.11,9.07,329.35,0.689458689,0.577129049,0.685446009,0.672764228
2017,1,406.36,1849.8,9.1,329.46,0.722127255,0.568573668,0.690140845,0.678353659
2017,2,406.66,1848.53,9.13,329.52,0.727825261,0.560279519,0.694835681,0.681402439
2017,3,407.54,1848.34,9.17,329.53,0.744539411,0.559038662,0.701095462,0.681910569
2017,4,409.22,1848.61,9.2,329.53,0.776448243,0.560801985,0.705790297,0.681910569
2017,5,409.89,1847.17,9.23,329.52,0.789173789,0.551397597,0.710485133,0.681402439
2017,6,409.08,1842.98,9.24,329.58,0.773789174,0.524033438,0.712050078,0.68445122
2017,7,407.33,1840.39,9.26,329.7,0.740550807,0.5071186,0.715179969,0.69054878
2017,8,405.32,1844.65,9.29,329.79,0.702374169,0.534939916,0.719874804,0.695121951
2017,9,403.57,1852.8,9.32,329.87,0.669135802,0.588166144,0.72456964,0.699186992
2017,10,403.82,1858.08,9.35,330.01,0.673884141,0.622648903,0.729264476,0.706300813
2017,11,405.31,1858.68,9.39,330.15,0.702184236,0.626567398,0.735524257,0.713414634
2017,12,407,1856.67,9.42,330.29,0.734283001,0.613440439,0.740219092,0.720528455
2018,1,408.15,1854.44,9.45,330.45,0.756125356,0.598876698,0.744913928,0.728658537
2018,2,408.52,1854.94,9.48,330.6,0.763152896,0.602142111,0.749608764,0.736280488
2018,3,409.59,1856.89,9.51,330.69,0.783475783,0.61487722,0.754303599,0.740853659
2018,4,410.45,1856.68,9.53,330.71,0.799810066,0.613505747,0.75743349,0.741869919
2018,5,411.44,1854.79,9.55,330.7,0.818613485,0.601162487,0.76056338,0.741361789
2018,6,410.99,1852.03,9.58,330.7,0.810066477,0.583137409,0.765258216,0.741361789
2018,7,408.9,1849.09,9.6,330.74,0.77037037,0.563936782,0.768388106,0.743394309
2018,8,407.16,1851.92,9.63,330.87,0.737321937,0.582419018,0.773082942,0.75
2018,9,405.71,1860.5,9.66,331.07,0.709781576,0.638453501,0.777777778,0.760162602
2018,10,406.19,1865.74,9.7,331.28,0.718898386,0.672675026,0.784037559,0.770833333
2018,11,408.21,1866.24,9.75,331.48,0.757264957,0.675940439,0.791862285,0.780995935
2018,12,409.27,1866.05,9.78,331.68,0.777397911,0.674699582,0.796557121,0.791158537
2019,1,411.03,1864.97,9.8,331.79,0.810826211,0.66764629,0.799687011,0.796747967
2019,2,411.96,1865,9.82,331.75,0.828490028,0.667842215,0.802816901,0.794715447
2019,3,412.18,1866.33,9.85,331.67,0.832668566,0.676528213,0.807511737,0.790650407
2019,4,413.54,1865.31,9.88,331.62,0.858499525,0.669866771,0.812206573,0.788109756
2019,5,414.86,1861.96,9.9,331.64,0.88357075,0.647988506,0.815336463,0.789126016
2019,6,414.16,1858.8,9.92,331.74,0.870275404,0.627351097,0.818466354,0.794207317
2019,7,411.97,1858.23,9.96,331.85,0.828679962,0.623628527,0.824726135,0.799796748
2019,8,410.18,1862.89,9.98,331.89,0.794681861,0.654062173,0.827856025,0.801829268
2019,9,408.76,1870.8,10,331.93,0.767711301,0.705721003,0.830985915,0.803861789
2019,10,408.75,1875.38,10.03,332.08,0.767521368,0.735632184,0.835680751,0.81148374
2019,11,410.48,1875.54,10.07,332.27,0.800379867,0.736677116,0.841940532,0.821138211
2019,12,411.98,1874.7,10.09,332.42,0.828869896,0.731191223,0.845070423,0.828760163
2020,1,413.61,1873.13,10.12,332.51,0.85982906,0.720937827,0.849765258,0.833333333
2020,2,414.34,1872.72,10.15,332.57,0.873694207,0.718260188,0.854460094,0.836382114
2020,3,414.74,1874.74,10.18,332.64,0.881291548,0.731452456,0.85915493,0.839939024
2020,4,416.45,1875.87,10.2,332.72,0.91377018,0.738832288,0.86228482,0.844004065
2020,5,417.31,1874.3,10.23,332.79,0.930104463,0.728578892,0.866979656,0.847560976
2020,6,416.6,1871.88,10.26,332.89,0.916619183,0.712774295,0.871674491,0.852642276
2020,7,414.62,1871.49,10.28,333.04,0.879012346,0.710227273,0.874804382,0.860264228
2020,8,412.78,1876.52,10.3,333.17,0.844064577,0.743077325,0.877934272,0.866869919
2020,9,411.52,1884.7,10.33,333.27,0.820132953,0.796499478,0.882629108,0.87195122
2020,10,411.51,1890.09,10.36,333.43,0.81994302,0.831700627,0.887323944,0.880081301
2020,11,413.12,1891.9,10.39,333.63,0.850522317,0.843521421,0.892018779,0.890243902
2020,12,414.26,1891.81,10.43,333.8,0.872174739,0.842933647,0.89827856,0.898882114
2021,1,415.52,1889.48,10.46,333.92,0.896106363,0.827716823,0.902973396,0.904979675
2021,2,416.75,1887.51,10.49,334,0.919468186,0.814851097,0.907668232,0.909044715
2021,3,417.64,1888.72,10.52,334.05,0.93637227,0.822753396,0.912363067,0.911585366
2021,4,419.05,1891.24,10.56,334.1,0.963152896,0.839211076,0.918622848,0.914126016
2021,5,419.13,1891.6,10.6,334.15,0.964672365,0.841562173,0.924882629,0.916666667
2021,6,418.94,1888.47,10.63,334.16,0.961063628,0.82112069,0.929577465,0.917174797
2021,7,416.96,1886.36,10.64,334.18,0.92345679,0.807340648,0.93114241,0.918191057
2021,8,414.47,1892.6,10.67,334.27,0.876163343,0.848092999,0.935837246,0.922764228
2021,9,413.3,1902.68,10.7,334.44,0.853941121,0.91392372,0.940532081,0.931402439
2021,10,413.93,1907.95,10.74,334.64,0.865906933,0.94834117,0.946791862,0.941565041
2021,11,415.01,1909.49,10.79,334.87,0.886419753,0.958398642,0.954616588,0.953252033
2021,12,416.71,1909.41,10.83,335.1,0.918708452,0.957876176,0.960876369,0.964939024
2022,1,418.19,1908.33,10.85,335.27,0.946818613,0.950822884,0.96400626,0.973577236
2022,2,419.28,1908.18,10.89,335.36,0.967521368,0.94984326,0.970266041,0.978150407
2022,3,418.81,1909.33,10.92,335.42,0.958594492,0.95735371,0.974960876,0.981199187
2022,4,420.23,1909.75,10.96,335.47,0.985565052,0.960096656,0.981220657,0.983739837
2022,5,420.99,1908.03,10.99,335.49,1,0.948863636,0.985915493,0.984756098
2022,6,420.99,1905.59,11.01,335.5,1,0.932928422,0.989045383,0.985264228
2022,7,418.9,1904.76,11.04,335.56,0.960303894,0.927507837,0.993740219,0.988313008
2022,8,417.19,1909.01,11.05,335.66,0.927825261,0.955263845,0.995305164,0.993394309
2022,9,415.95,1915.86,11.08,335.79,0.904273504,1,1,1
,,,,,,,,,
